source,category,name,brand,url,postcode,lat,lon,phone,rating,price_level,business_status,opening_hours
exa,escape_rooms,London's best escape rooms - Time Out,,https://www.timeout.com/london/things-to-do/londons-best-escape-games,,,,,,,,
exa,escape_rooms,Thrilling Escape Rooms In London | Enigma Quests,,https://enigmaquests.london/escape-rooms/london/,,,,,,,,
exa,escape_rooms,Escape Rooms - Enigma Quests,,https://enigmaquests.london/escape-rooms/,,,,,,,,
exa,escape_rooms,Our Exciting Escape Rooms in Holborn | Book Online Now,,https://enigmaquests.london/escape-rooms/holborn/,,,,,,,,
exa,escape_rooms,Enigma Quests | Our Incredible Escape Rooms and Escape Arcade™,,https://enigmaquests.london/,,,,,,,,
exa,escape_rooms,Amazing Escape Rooms in London For Couples | A Date Night With ...,,https://enigmaquests.london/escape-rooms/for-couples/,,,,,,,,
exa,escape_rooms,Maximise Your Time in London With Our Amazing Escape Rooms,,https://enigmaquests.london/escape-rooms/for-tourists/time/,,,,,,,,
exa,escape_rooms,Escape Rooms Near Spitalfields | Three Thrilling Rooms Available,,https://enigmaquests.london/escape-rooms/spitalfields/,,,,,,,,
exa,escape_rooms,Brilliant Hen Party Escape Rooms in London | Enigma Quests,,https://enigmaquests.london/escape-rooms/escape-room-hen-party/,,,,,,,,
exa,escape_rooms,Escape Arcade™ - Enigma Quests,,https://enigmaquests.london/escape-arcade/,,,,,,,,
exa,laser_tag,Laser Mayhem: Laser Tag Essex & London,,https://www.lasermayhem.co.uk/,,,,,,,,
exa,laser_tag,Home - Laser Quest GB,,https://laserquest.co.uk/,,,,,,,,
exa,laser_tag,Locations - Laser Quest GB,,https://laserquest.co.uk/locations/,,,,,,,,
exa,laser_tag,Highly Exciting Realistic Outdoor Laser Tag Action - Laser Mayhem,,https://www.lasermayhem.co.uk/about/outdoor-laser-tag,,,,,,,,
exa,laser_tag,Laser Mayhem's Warehouse indoor playing field at Laser Tag London,,https://www.lasermayhem.co.uk/scenarios/laser-barn,,,,,,,,
exa,laser_tag,Black Hawk Down awesome themed laser tag field at quaser London,,https://www.lasermayhem.co.uk/scenarios/black-hawk-down,,,,,,,,
exa,laser_tag,Outdoor Laser tag mayhem is the best venue for Quazer in London,,https://www.lasermayhem.co.uk/about,,,,,,,,
exa,laser_tag,Why you should choose us? - Laser Mayhem,,https://www.lasermayhem.co.uk/about/why-us,,,,,,,,
exa,laser_tag,Off-site Games - Laser Mayhem,,https://www.lasermayhem.co.uk/offsite-games,,,,,,,,
exa,laser_tag,Laser Mayhem London the ideal place to take the kids this holiday,,https://www.lasermayhem.co.uk/events/holiday-games,,,,,,,,
exa,mini_golf,10 Best Crazy Golf Courses In London - DesignMyNight,,https://www.designmynight.com/london/crazy-golf-london,,,,,,,,
exa,mini_golf,The best crazy golf in London - Time Out,,https://www.timeout.com/london/things-to-do/the-best-crazy-golf-london-has-to-offer,,,,,,,,
exa,mini_golf,"CAMDEN CRAZY GOLF | Mini Golf | Dates, birthdays, parties",,https://www.junkyardgolfclub.co.uk/london-camden/,,,,,,,,
exa,mini_golf,"Puttshack | Upscale, Tech-Infused Mini Golf Experience",,https://www.puttshack.com/,,,,,,,,
exa,mini_golf,Puttshack Bank | Best Mini Golf in London,,https://www.puttshack.com/uk/locations/bank/,,,,,,,,
exa,mini_golf,"High Tech Mini Golf in London, Essex & USA | Crazy Golf - Puttshack",,https://www.puttshack.com/uk/,,,,,,,,
exa,mini_golf,"SHOREDITCH CRAZY GOLF | Mini Golf | Dates, birthdays, parties",,https://www.junkyardgolfclub.co.uk/london-shoreditch/,,,,,,,,
exa,mini_golf,Puttshack White City| Best Mini Golf in London,,https://www.puttshack.com/uk/locations/white-city/,,,,,,,,
exa,mini_golf,Puttshack Bank | Best Mini Golf in London | Crazy Golf  London,,https://www.puttshack.com/locations/bank,,,,,,,,
exa,mini_golf,Birdies Crazy Golf London,,https://www.playbirdies.com/,,,,,,,,
exa,climbing,The best rock climbing walls in London - Time Out,,https://www.timeout.com/london/things-to-do/the-best-climbing-walls-in-london,,,,,,,,
exa,climbing,"The Reach Climbing Wall | Sport and fitness in Charlton, London",,https://www.timeout.com/london/sport-and-fitness/the-reach-climbing-wall,,,,,,,,
exa,climbing,VauxWall West Climbing Centre | Sport and fitness in ... - Time Out,,https://www.timeout.com/london/sport-and-fitness/vauxwall-west-climbing-centre,,,,,,,,
exa,climbing,Castle Climbing Centre,,https://www.timeout.com/london/sport-and-fitness/castle-climbing-centre,,,,,,,,
exa,climbing,Westway Climbing Centre,,https://www.timeout.com/london/sport-fitness/westway-climbing-centre,,,,,,,,
exa,climbing,The Climbing Hangar,,https://www.timeout.com/london/sport-and-fitness/the-climbing-hangar,,,,,,,,
exa,climbing,"Rise Climbing | Things to do in Canning Town, London",,https://www.timeout.com/london/things-to-do/rise-climbing,,,,,,,,
exa,climbing,Climbing courses - The Castle Climbing Centre,,https://www.castle-climbing.co.uk/climbing-courses,,,,,,,,
exa,climbing,The Arch Climbing Wall North,,https://www.timeout.com/london/sport-and-fitness/the-arch-climbing-wall-north,,,,,,,,
exa,climbing,Welcome to climbing - The Castle Climbing Centre - The Castle ...,,https://www.castle-climbing.co.uk/,,,,,,,,
exa,bowling,The 7 best tenpin bowling alleys in London - Time Out,,https://www.timeout.com/london/things-to-do/londons-best-ten-pin-bowling-alleys,,,,,,,,
exa,bowling,Tenpin Acton | Bowling London | Best Bowling Party Fun!,,https://www.tenpin.co.uk/our-locations/acton/bowling/,,,,,,,,
exa,bowling,VIP Lanes - Queens London,,https://queens.london/bowling/vip-lanes/,,,,,,,,
exa,bowling,Bowling - All Star Lanes,,https://www.allstarlanes.co.uk/play/bowling,,,,,,,,
exa,bowling,Ten Pin Bowling Near Me | Hollywood Bowl,,https://www.hollywoodbowl.co.uk/centres,,,,,,,,
exa,bowling,Main Lanes - Queens London,,https://queens.london/bowling/main-lanes/,,,,,,,,
exa,bowling,Bowling - Queens London,,https://queens.london/bowling/,,,,,,,,
exa,bowling,Bowling London | Hollywood Bowl,,https://www.hollywoodbowl.co.uk/centres/greater-london-region,,,,,,,,
